STM32F303-QFP48,C2053506,In-Stock,9,8.786,4,4
STM32F427-QFP144,C1341577,In-Stock,2,20.2019,2,2
STM32F446-QFP64,C69336,In-Stock,872,4.9229,3,3
IC-BUCK-LMR14050,C155484,In-Stock,15692,0.392,8,8
IC-LDO-3V3-SOT23_5,C2832127,In-Stock,8020,0.035,30,40
IC-SVR-3V3-SOT23_3,C143326,In-Stock,596,1.0268,30,30
IC-LDO-10V-SOT23_5,C6036219,In-Stock,20,1.5485,8,8
IC-TC7760,C636972,In-Stock,105,1.5797,4,4
IC-MAX31855K,C52028,In-Stock,9447,2.5683,4,4
IC-CMP-2CH-SOT23_8,C702109,In-Stock,10,2.7537,8,8
IC-OPAMP-SOT23_5,C4369312,In-Stock,200,0.8152,12,12
IC-MIC5021-SOIC8,C637556,In-Stock,15,2.2272,6,6
IC-GATE-NOTS-2CH-SOT363,C89316,In-Stock,3460,0.0643,10,10
IC-GATE-AND3-SOT363,C460525,In-Stock,2690,0.0539,20,20
IC-GATE-NAND3-SOT363,C258149,In-Stock,2630,0.0693,20,20
IC-CAN-ATA6561-SOIC8,C616016,In-Stock,4010,0.5814,6,6
IC-INA219-SOIC8,C2865405,In-Stock,255,0.8354,4,4
IC-PWRSW-P1-SOT23_5,C426473,In-Stock,1200,0.2895,8,10
IC-SENSOR-MS5611,C15639,In-Stock,992,5.5827,4,4
IC-SENSOR-LSM6DSR,C784817,In-Stock,5624,2.8664,4,4
IC-SENSOR-LIS2MDL,C919695,In-Stock,9569,0.9799,4,4
IC-NEO-M9N,C5119087,In-Stock,70,16.2614,6,6
IC-FLASH-W25Q-SOIC8W,C401671,In-Stock,464,1.3883,8,8
BQ24392RSER,C128408,In-Stock,2581,0.5664,4,4
TPS2553DRVR,C138719,In-Stock,445,0.2024,4,5
IC-INA381-WSON8,C2155688,In-Stock,2869,0.3161,8,8
IC-PCA9517-TSSOP8,C80799,In-Stock,14246,0.4504,6,6
IC-PCAL9714-QFN24,C80799,In-Stock,14246,0.4504,4,4
IC-SVR-ADJ-SOT23_3,C56765,In-Stock,18275,0.1058,10,10
TR-NMOS-SOT23_3,C5761405,In-Stock,100,0.0684,40,40
TR-NMOS2-SIG,C262138,In-Stock,790,0.0549,20,20
TR-NMOS-DFN3333_8L,C42374590,In-Stock,11590,0.0785,30,30
D-TVS-3V3-SOD523,C41409251,In-Stock,5450,0.015,300,300
D-TVS-5V0-SOD523,C1977377,In-Stock,700,0.0409,100,100
D-TVS-25V2-SMA,C1977377,In-Stock,700,0.0409,100,100
D-TVS-USBLC6,C2969755,In-Stock,1050,0.1868,100,100
D-SCHOTTKY-BAT54S,C377935,In-Stock,520,0.0595,10,10
D-ZEN-13V-SOD523,C460799,In-Stock,24990,0.0443,40,40
D-LED-RED-0603,C5355446,In-Stock,1450,0.076,20,20
D-LED-ORANGE-0603,C5355429,In-Stock,860,0.0289,20,20
D-LED-GREEN-0603,C965851,In-Stock,6800,0.0273,160,160
